,Unnamed: 0,Date,Hour,Dew_Point,Derece,Yükseklik Ölçer,Rüzgar Hızı,Görünürlük,Year,Month,Day,Bulut,Yeni_Bulut
1,1,2019-01-01,02:20,1.0,6,1024,16.7,"10,00",2019,1,1,Bulut Tavanı ve Görüş Temiz,1
2,2,2019-01-01,04:20,1.0,5,1024,14.8,"10,00",2019,1,1,Bulut Tavanı ve Görüş Temiz,1
4,4,2019-01-01,08:20,-2.0,6,1023,14.8,"10,00",2019,1,1,Bulut Tavanı ve Görüş Temiz,1
5,5,2019-01-01,10:20,-1.0,6,1023,20.4,"10,00",2019,1,1,Bulut Tavanı ve Görüş Temiz,1
7,7,2019-01-01,14:20,1.0,9,1020,29.6,"10,00",2019,1,1,Çok bulutlu,2
8,8,2019-01-01,16:20,0.0,8,1020,25.9,"10,00",2019,1,1,Çok bulutlu,2
10,10,2019-01-01,20:20,2.0,8,1019,22.2,"10,00",2019,1,1,Bulut Tavanı ve Görüş Temiz,1
11,11,2019-01-01,22:20,2.0,8,1018,18.5,"10,00",2019,1,1,Çok bulutlu,2
13,13,2019-01-02,02:20,3.0,7,1016,13.0,"10,00",2019,1,2,Çok bulutlu,2
14,14,2019-01-02,04:20,2.0,6,1015,11.1,"10,00",2019,1,2,Çok bulutlu,2
16,16,2019-01-02,08:20,4.0,7,1013,11.1,"6,00",2019,1,2,Çok bulutlu,2
17,17,2019-01-02,10:20,5.0,7,1013,13.0,"4,60",2019,1,2,Kapalı,6
19,19,2019-01-02,14:20,4.0,6,1010,18.5,"8,00",2019,1,2,Çok bulutlu,2
20,20,2019-01-02,16:20,3.0,7,1010,11.1,"10,00",2019,1,2,Kapalı,6
22,22,2019-01-02,20:20,2.0,7,1011,11.1,"10,00",2019,1,2,Çok bulutlu,2
23,23,2019-01-02,22:20,2.0,7,1011,9.26,"10,00",2019,1,2,Çok bulutlu,2
25,25,2019-01-03,02:20,3.0,6,1011,13.0,"10,00",2019,1,3,Çok bulutlu,2
26,26,2019-01-03,04:20,3.0,6,1012,13.0,"8,00",2019,1,3,Çok bulutlu,2
28,28,2019-01-03,08:20,2.0,5,1013,18.5,"8,00",2019,1,3,Çok bulutlu,2
29,29,2019-01-03,10:20,2.0,7,1014,14.8,"10,00",2019,1,3,Çok bulutlu,2
31,31,2019-01-03,14:20,2.0,7,1012,16.7,"10,00",2019,1,3,Kapalı,6
32,32,2019-01-03,16:20,3.0,9,1011,20.4,"10,00",2019,1,3,Kapalı,6
34,34,2019-01-03,20:20,4.0,7,1005,25.9,"6,00",2019,1,3,Kapalı,6
35,35,2019-01-03,22:20,3.0,6,1004,25.9,"7,00",2019,1,3,Kapalı,6
37,37,2019-01-04,02:20,4.0,5,1004,18.5,"6,00",2019,1,4,Çok bulutlu,2
38,38,2019-01-04,04:20,2.0,4,1005,48.2,"8,00",2019,1,4,Kapalı,6
40,40,2019-01-04,08:20,1.0,3,1014,46.3,"7,00",2019,1,4,Çok bulutlu,2
41,41,2019-01-04,10:20,0.0,3,1020,25.9,"7,00",2019,1,4,Çok bulutlu,2
43,43,2019-01-04,14:20,0.0,4,1022,25.9,"10,00",2019,1,4,Çok bulutlu,2
44,44,2019-01-04,16:20,-2.0,4,1023,22.2,"10,00",2019,1,4,Çok bulutlu,2
46,46,2019-01-04,20:20,-3.0,4,1023,25.9,"10,00",2019,1,4,Parçalı Bulutlu,3
47,47,2019-01-04,22:20,-3.0,5,1023,25.9,"10,00",2019,1,4,Çok bulutlu,2
49,49,2019-01-05,02:20,-2.0,4,1021,25.9,"10,00",2019,1,5,Çok bulutlu,2
50,50,2019-01-05,04:20,0.0,3,1019,25.9,"10,00",2019,1,5,Çok bulutlu,2
52,52,2019-01-05,08:20,1.0,4,1015,29.6,"10,00",2019,1,5,Çok bulutlu,2
53,53,2019-01-05,10:20,1.0,4,1014,25.9,"10,00",2019,1,5,Çok bulutlu,2
55,55,2019-01-05,14:20,2.0,4,1012,18.5,"6,00",2019,1,5,Çok bulutlu,2
56,56,2019-01-05,16:20,2.0,5,1013,11.1,"8,00",2019,1,5,Çok bulutlu,2
58,58,2019-01-05,20:20,1.0,4,1013,18.5,"8,00",2019,1,5,Çok bulutlu,2
59,59,2019-01-05,22:20,1.0,4,1013,18.5,"10,00",2019,1,5,Çok bulutlu,2
61,61,2019-01-06,02:20,1.0,4,1010,16.7,"10,00",2019,1,6,Çok bulutlu,2
62,62,2019-01-06,04:20,1.0,3,1010,18.5,"10,00",2019,1,6,Çok bulutlu,2
64,64,2019-01-06,08:20,-1.0,3,1009,24.1,"10,00",2019,1,6,Çok bulutlu,2
65,65,2019-01-06,10:20,-1.0,3,1009,24.1,"10,00",2019,1,6,Çok bulutlu,2
67,67,2019-01-06,14:20,0.0,4,1009,13.0,"10,00",2019,1,6,Çok bulutlu,2
68,68,2019-01-06,16:20,-1.0,4,1010,16.7,"10,00",2019,1,6,Çok bulutlu,2
70,70,2019-01-06,20:20,-3.0,1,1012,13.0,"10,00",2019,1,6,Parçalı Bulutlu,3
71,71,2019-01-06,22:20,-1.0,1,1013,14.8,"10,00",2019,1,6,Çok bulutlu,2
73,73,2019-01-07,02:20,-1.0,1,1014,20.4,"10,00",2019,1,7,Çok bulutlu,2
74,74,2019-01-07,04:20,0.0,1,1015,18.5,"10,00",2019,1,7,Çok bulutlu,2
76,76,2019-01-07,08:20,-1.0,2,1016,16.7,"7,00",2019,1,7,Kapalı,6
77,77,2019-01-07,10:20,-3.0,2,1018,22.2,"7,00",2019,1,7,Çok bulutlu,2
79,79,2019-01-07,14:20,-4.0,3,1019,25.9,"10,00",2019,1,7,Çok bulutlu,2
80,80,2019-01-07,16:20,-5.0,3,1019,29.6,"10,00",2019,1,7,Çok bulutlu,2
82,82,2019-01-07,20:20,-2.0,1,1021,18.5,"10,00",2019,1,7,Çok bulutlu,2
83,83,2019-01-07,22:20,-3.0,1,1021,29.6,"10,00",2019,1,7,Çok bulutlu,2
86,86,2019-01-08,04:20,-2.0,0,1021,29.6,"7,00",2019,1,8,Çok bulutlu,2
88,88,2019-01-08,08:20,-4.0,0,1020,33.3,"10,00",2019,1,8,Parçalı Bulutlu,3
89,89,2019-01-08,10:20,-5.0,1,1020,31.5,"10,00",2019,1,8,Az Bulutlu,4
91,91,2019-01-08,14:20,-5.0,3,1018,31.5,"10,00",2019,1,8,Parçalı Bulutlu,3
92,92,2019-01-08,16:20,-6.0,2,1018,24.1,"10,00",2019,1,8,Parçalı Bulutlu,3
94,94,2019-01-08,20:20,-4.0,-1,1018,13.0,"10,00",2019,1,8,Az Bulutlu,4
95,95,2019-01-08,22:20,-4.0,-1,1018,7.41,"10,00",2019,1,8,Az Bulutlu,4
97,97,2019-01-09,02:20,-4.0,0,1016,7.41,"10,00",2019,1,9,Parçalı Bulutlu,3
98,98,2019-01-09,04:20,-3.0,2,1016,27.8,"10,00",2019,1,9,Parçalı Bulutlu,3
100,100,2019-01-09,08:20,-3.0,2,1015,33.3,"10,00",2019,1,9,Parçalı Bulutlu,3
101,101,2019-01-09,10:20,-3.0,3,1015,33.3,"10,00",2019,1,9,Çok bulutlu,2
103,103,2019-01-09,14:20,-2.0,7,1014,35.2,"10,00",2019,1,9,Bulut Tavanı ve Görüş Temiz,1
104,104,2019-01-09,16:20,-2.0,7,1013,33.3,"10,00",2019,1,9,Bulut Tavanı ve Görüş Temiz,1
106,106,2019-01-09,20:20,-1.0,8,1012,25.9,"10,00",2019,1,9,Çok bulutlu,2
